sample-id	sample_type	sample	genotype	species	resistance	local_sep	SampleID
S18-16S-Leaf-wash-redo	LW	BESC801 #23	BESC801	P. trichocarpa	trichocarpa - susceptible	7.558942917	S18
S18-16S-Leafwash-16S_run3	LW	BESC801 #23	BESC801	P. trichocarpa	trichocarpa - susceptible	7.558942917	S18
S18-16S-Leafwash-Endo-Endo	LW	BESC801 #23	BESC801	P. trichocarpa	trichocarpa - susceptible	7.558942917	S18
S18-16S-Root-endo-16S	RE	BESC801 #23	BESC801	P. trichocarpa	trichocarpa - susceptible	6.321730905	S18
S18-16S-Rhizo	RH	BESC801 #23	BESC801	P. trichocarpa	trichocarpa - susceptible	5.742589062	S18
S19-16S-Leaf-Endo	LE	BESC801 corv #11	BESC801	P. trichocarpa	trichocarpa - susceptible	4.972605764	S19
S19-16S-Root-endo-16S	RE	BESC801 corv #11	BESC801	P. trichocarpa	trichocarpa - susceptible	8.195487192	S19
S19-16S-Rhizo	RH	BESC801 corv #11	BESC801	P. trichocarpa	trichocarpa - susceptible	4.021588655	S19
S20-16S-Leaf-Endo	LE	BESC71 #27	BESC71	P. trichocarpa	trichocarpa - susceptible	36.96740221	S20
S20-16S-Root-endo-16S	RE	BESC71 #27	BESC71	P. trichocarpa	trichocarpa - susceptible	5.403469343	S20
S20-16S-Rhizo	RH	BESC71 #27	BESC71	P. trichocarpa	trichocarpa - susceptible	440.246442	S20
S21-16S-Leaf-Endo	LE	BESC71 corv #10	BESC71	P. trichocarpa	trichocarpa - susceptible	11.76114429	S21
S21-16S-Leafwash-Endo-Endo	LW	BESC71 corv #10	BESC71	P. trichocarpa	trichocarpa - susceptible	6.282478746	S21
S21-16S-Root-endo-16S	RE	BESC71 corv #10	BESC71	P. trichocarpa	trichocarpa - susceptible	0.875906555	S21
S21-16S-Rhizo	RH	BESC71 corv #10	BESC71	P. trichocarpa	trichocarpa - susceptible	478.5575287	S21
S22-16S-Leaf-Endo	LE	BESC103 #24	BESC103	P. trichocarpa	trichocarpa - susceptible	38.75411179	S22
S22-16S-Root-endo-16S	RE	BESC103 #24	BESC103	P. trichocarpa	trichocarpa - susceptible	32.39885668	S22
S22-16S-Rhizo	RH	BESC103 #24	BESC103	P. trichocarpa	trichocarpa - susceptible	23.66453904	S22
S23-16S-Leaf-Endo	LE	BESC103 corv #12 	BESC103	P. trichocarpa	trichocarpa - susceptible	5.100555743	S23
S23-16S-Leaf-wash-redo	LW	BESC103 corv #12 	BESC103	P. trichocarpa	trichocarpa - susceptible	6.63889461	S23
S23-16S-Leafwash-Endo-Endo	LW	BESC103 corv #12 	BESC103	P. trichocarpa	trichocarpa - susceptible	6.63889461	S23
